SED_CODIGO	CAJA_RETORNO	CAJA_APLICACION	COD_INSTRUMENTO	paquete	COD_PREFIJO	ESTADO	ES_ADICIONAL	ES_MUESTRA_CODIFICACION	NUM_RUTA	INSTRUMENTO	COD_PALET	OBSERVACION	FECHAHORA
076	747030026	7450000101	750000000101	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
076	747030026	7450000101	750000000102	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
076	747030026	7450000201	750000000201	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
076	747030026	7450000201	750000000202	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
076	747030026	7450000301	750000000301	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
076	747030026	7450000301	750000000302	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
076	747030026	7450000401	750000000401	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
076	747030026	7450000401	750000000402	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
076	747030026	7450000501	750000000501	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
076	747030026	7450000501	750000000502	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
248	747030064	7450001501	750000000601	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
248	747030064	7450001501	750000000602	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
248	747030064	7450001601	750000000701	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
248	747030064	7450001601	750000000702	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
248	747030064	7450001701	750000000801	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
248	747030064	7450001701	750000000802	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
248	747030064	7450001801	750000000901	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
248	747030064	7450001801	750000000902	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
248	747030064	7450001901	750000001001	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
248	747030064	7450001901	750000001002	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
248	747030064	7450002701	750000001101	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
248	747030064	7450002701	750000001102	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
248	747030064	7450002801	750000001201	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
248	747030064	7450002801	750000001202	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
248	747030064	7450002901	750000001301	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
248	747030064	7450002901	750000001302	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
248	747030064	7450003001	750000001401	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
248	747030064	7450003001	750000001402	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
248	747030064	7450003101	750000001501	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
248	747030064	7450003101	750000001502	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
248	747030064	7450003201	750000001601	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
248	747030064	7450003201	750000001602	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
248	747030064	7450003301	750000001701	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
248	747030064	7450003301	750000001702	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
248	747030064	7450003801	750000001801	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
248	747030064	7450003801	750000001802	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
248	747030064	7450003901	750000001901	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
248	747030064	7450003901	750000001902	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
248	747030064	7450004001	750000002001	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
248	747030064	7450004001	750000002002	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
248	747030064	7450006301	750000002101	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
248	747030064	7450006301	750000002102	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
248	747030064	7450006401	750000002201	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
248	747030064	7450006401	750000002202	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
248	747030064	7450006601	750000002301	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
248	747030064	7450006601	750000002302	 	750	1	 	 	 	Cuestionario al Director 4P Forma 1	 	 	 
