fk_ficha,cod_barra,error_descripcion
f6d4b027a4f16ed9ba4ab7db1310fae8105f51a01e9f28efdc70d8835136b5e3,750000001501,"La columna cod_barra no sigue el patrón : [7][5][4][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9],La columna p11_07 no sigue el patrón : ['A'"
f6d4b027a4f16ed9ba4ab7db1310fae8105f51a01e9f28efdc70d8835136b5e3,750000001701,"La columna cod_barra no sigue el patrón : [7][5][4][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9],La columna p11_06 no sigue el patrón : ['A'"
f6d4b027a4f16ed9ba4ab7db1310fae8105f51a01e9f28efdc70d8835136b5e3,750000002401,"La columna cod_barra no sigue el patrón : [7][5][4][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9],La columna p11_02 no sigue el patrón : ['A'"
f6d4b027a4f16ed9ba4ab7db1310fae8105f51a01e9f28efdc70d8835136b5e3,750000008301,"La columna cod_barra no sigue el patrón : [7][5][4][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9],La columna p11_01 no sigue el patrón : ['A'"
f6d4b027a4f16ed9ba4ab7db1310fae8105f51a01e9f28efdc70d8835136b5e3,750000008401,"La columna cod_barra no sigue el patrón : [7][5][4][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9],La columna p11_03 no sigue el patrón : ['A'"
f6d4b027a4f16ed9ba4ab7db1310fae8105f51a01e9f28efdc70d8835136b5e3,750000009801,"La columna cod_barra no sigue el patrón : [7][5][4][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9],La columna p11_05 no sigue el patrón : ['A'"
f6d4b027a4f16ed9ba4ab7db1310fae8105f51a01e9f28efdc70d8835136b5e3,750000010301,"La columna cod_barra no sigue el patrón : [7][5][4][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9],La columna p11_06 no sigue el patrón : ['A'"
f6d4b027a4f16ed9ba4ab7db1310fae8105f51a01e9f28efdc70d8835136b5e3,750000010501,"La columna cod_barra no sigue el patrón : [7][5][4][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9],La columna p11_01 no sigue el patrón : ['A'"
f6d4b027a4f16ed9ba4ab7db1310fae8105f51a01e9f28efdc70d8835136b5e3,750000012001,"La columna cod_barra no sigue el patrón : [7][5][4][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9],La columna p11_02 no sigue el patrón : ['A'"
f6d4b027a4f16ed9ba4ab7db1310fae8105f51a01e9f28efdc70d8835136b5e3,750000012301,"La columna cod_barra no sigue el patrón : [7][5][4][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9],La columna p11_02 no sigue el patrón : ['A'"
f6d4b027a4f16ed9ba4ab7db1310fae8105f51a01e9f28efdc70d8835136b5e3,750000000601,"La columna cod_barra no sigue el patrón : [7][5][4][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9],La columna ie no sigue el patrón : Alfanuméricos,La columna p01 no sigue el patrón : ['A'"
f6d4b027a4f16ed9ba4ab7db1310fae8105f51a01e9f28efdc70d8835136b5e3,750000001601,"La columna cod_barra no sigue el patrón : [7][5][4][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9],La columna p11_01 no sigue el patrón : ['A'"
f6d4b027a4f16ed9ba4ab7db1310fae8105f51a01e9f28efdc70d8835136b5e3,750000002101,"La columna cod_barra no sigue el patrón : [7][5][4][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9],La columna p17_01 no sigue el patrón : ['A'"
f6d4b027a4f16ed9ba4ab7db1310fae8105f51a01e9f28efdc70d8835136b5e3,750000003101,"La columna cod_barra no sigue el patrón : [7][5][4][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9],La columna p11_02 no sigue el patrón : ['A'"
f6d4b027a4f16ed9ba4ab7db1310fae8105f51a01e9f28efdc70d8835136b5e3,750000004401,La columna cod_barra no sigue el patrón : [7][5][4][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9]
f6d4b027a4f16ed9ba4ab7db1310fae8105f51a01e9f28efdc70d8835136b5e3,750000006701,"La columna cod_barra no sigue el patrón : [7][5][4][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9],La columna p11_01 no sigue el patrón : ['A'"
f6d4b027a4f16ed9ba4ab7db1310fae8105f51a01e9f28efdc70d8835136b5e3,750000007301,"La columna cod_barra no sigue el patrón : [7][5][4][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9][0-9],La columna p17_01 no sigue el patrón : ['A'"
